[2026-04-08T18:39:34.903Z] GET http://127.0.0.1:8765/index.html → 200 (16ms, 10153B)
[2026-04-08T18:39:34.926Z] GET https://fonts.googleapis.com/css2?family=Archivo:wght@300;400;700;900&family=Archivo+Black&display=swap → 200 (258ms, 6347B)
[2026-04-08T18:39:34.927Z] GET http://127.0.0.1:8765/logo_funkhaus_white.svg → 200 (18ms, 1813B)
[2026-04-08T18:39:35.244Z] GET https://fonts.gstatic.com/s/archivo/v25/k3kPo8UDI-1M0wlSV9XAw6lQkqWY8Q82sLydOxKsv4Rn.woff2 → pending (?ms, ?B)
[2026-04-08T18:39:35.244Z] GET https://fonts.gstatic.com/s/archivoblack/v23/HTxqL289NzCGg4MzN6KJ7eW6CYyF_jzx13E.woff2 → pending (?ms, ?B)
[2026-04-08T18:40:56.812Z] GET https://cannuri.github.io/funkhaus_schild/ → 200 (242ms, 10153B)
[2026-04-08T18:40:57.061Z] GET https://fonts.googleapis.com/css2?family=Archivo:wght@300;400;700;900&family=Archivo+Black&display=swap → 200 (?ms, 6347B)
[2026-04-08T18:40:57.061Z] GET https://cannuri.github.io/funkhaus_schild/logo_funkhaus_white.svg → 200 (152ms, 1813B)
[2026-04-08T18:40:57.065Z] GET https://fonts.gstatic.com/s/archivo/v25/k3kPo8UDI-1M0wlSV9XAw6lQkqWY8Q82sLydOxKsv4Rn.woff2 → 200 (28ms, 34940B)
[2026-04-08T18:40:57.066Z] GET https://fonts.gstatic.com/s/archivoblack/v23/HTxqL289NzCGg4MzN6KJ7eW6CYyF_jzx13E.woff2 → 200 (28ms, 9792B)
[2026-04-08T18:43:00.249Z] GET http://127.0.0.1:8765/index.html → 200 (6ms, 9953B)
[2026-04-08T18:43:00.314Z] GET https://fonts.googleapis.com/css2?family=Archivo:wght@300;400;700;900&family=Archivo+Black&display=swap → 200 (?ms, 6347B)
[2026-04-08T18:43:00.314Z] GET http://127.0.0.1:8765/logo_funkhaus_white.svg → 200 (19ms, 1813B)
[2026-04-08T18:43:00.333Z] GET https://fonts.gstatic.com/s/archivo/v25/k3kPo8UDI-1M0wlSV9XAw6lQkqWY8Q82sLydOxKsv4Rn.woff2 → 200 (1ms, 34940B)
[2026-04-08T18:43:00.333Z] GET https://fonts.gstatic.com/s/archivoblack/v23/HTxqL289NzCGg4MzN6KJ7eW6CYyF_jzx13E.woff2 → 200 (?ms, 9792B)
[2026-04-08T18:44:53.870Z] GET http://127.0.0.1:8765/index.html → 200 (5ms, 6214B)
[2026-04-08T18:44:53.879Z] GET https://fonts.googleapis.com/css2?family=Archivo:wght@300;400;700;900&family=Archivo+Black&display=swap → 200 (?ms, 6347B)
[2026-04-08T18:44:53.879Z] GET http://127.0.0.1:8765/logo_funkhaus_white.svg → 304 (1ms, ?B)
[2026-04-08T18:44:53.880Z] GET https://fonts.gstatic.com/s/archivo/v25/k3kPo8UDI-1M0wlSV9XAw6lQkqWY8Q82sLydOxKsv4Rn.woff2 → 200 (?ms, ?B)
[2026-04-08T18:44:53.880Z] GET https://fonts.gstatic.com/s/archivoblack/v23/HTxqL289NzCGg4MzN6KJ7eW6CYyF_jzx13E.woff2 → 200 (?ms, ?B)
